case,cohort,resenc_raw,resenc_liv,resenc_out,umamba_raw,umamba_liv,umamba_out,swin_raw,swin_liv,swin_out
BIRCAD_001,ircadb,0.8197895412787024,0.8314669888124376,0.03154662199888325,0.8453600323831874,0.8597275164602673,0.037050290245260076,0.7850279441618004,0.8101207548926551,0.06689870197356318
BIRCAD_002,ircadb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943335635359116
BIRCAD_003,ircadb,0.0,0.0,0.0,0.0,0.0,0.0,0.027734194049700393,0.02856439300664861,0.03692874366325538
BIRCAD_004,ircadb,0.15862577243607914,0.3438613739707509,0.8715032559845914,0.21887788778877887,0.21887788778877887,0.0,0.06312696321815787,0.09070393826890878,0.4615443777880326
BIRCAD_005,ircadb,0.4900521544210928,0.4901262967509447,0.0005985865195594631,0.5869568374227339,0.5870534525578895,0.0005511964204656383,0.6651156779113352,0.6725707205629414,0.02529950232905287
BIRCAD_006,ircadb,0.0,0.0,0.994416618770014,0.0,0.0,0.0,0.0,0.0,0.021973094170403606
BIRCAD_007,ircadb,0.8557639724379307,0.8732178231634162,0.04343434343434338,0.6933394852189961,0.6950230429970763,0.006933308178473707,0.5286801445153355,0.5309412055335968,0.010836821720589973
BIRCAD_008,ircadb,0.4799688078760113,0.4799688078760113,0.0,0.4496053888302418,0.4496053888302418,0.0,0.3606566085847854,0.3813402235578273,0.09008691048661044
BIRCAD_009,ircadb,0.0,0.0,0.0,0.0031013252157194846,0.0031013252157194846,0.0,0.06759836458953453,0.06776399328038614,0.028832173240525893
BIRCAD_010,ircadb,0.5838294886016345,0.5838294886016345,0.0,0.6665477397948002,0.6665715217745881,9.495516759583378e-05,0.6162736500483359,0.6162896083830371,5.492895854697366e-05
BIRCAD_011,ircadb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27806677385794
BIRCAD_012,ircadb,0.0,0.0,0.0,0.0,0.0,0.0,6.792646423984477e-05,7.455658452362267e-05,0.08951435871599256
BIRCAD_013,ircadb,0.4574706744261128,0.4574706744261128,0.0,0.5900069752927788,0.592202815240622,0.011689814814814792,0.6614977646047483,0.6637360002397819,0.008811871742166022
BIRCAD_014,ircadb,0.0,0.0,0.0,0.0,0.0,0.0,0.015698198198198197,0.016424346678605935,0.04659332312695075
BIRCAD_015,ircadb,0.050094161958568736,0.050094161958568736,0.0,0.028466701575665256,0.028466701575665256,0.0,0.0343329808128116,0.03726937269372694,0.36165048543689315
BLITS_001,lits,0.0,0.0,0.0,0.0,0.0,0.0,0.008518475883504087,0.01049645390070922,0.26853674540682415
BLITS_002,lits,0.29892298313350946,0.29892298313350946,0.0,0.314664386489953,0.314664386489953,0.0,0.10182037918271773,0.13918430562725864,0.32782953602066234
BLITS_003,lits,0.6604309181441668,0.7351717231018943,0.16320940309286047,0.5406423758749264,0.7341138014957986,0.38645563549160666,0.2379157529239766,0.3338809857743939,0.3337599639242941
